T_number	org_code	name	lineage	taxaid	gb_ncbi_seq_id	rs_ncbi_seq_ids
T01001	hsa	Homo sapiens (human)	Eukaryotes;Animals;Vertebrates;Mammals	9606	[]	[]
T01005	ptr	Pan troglodytes (chimpanzee)	Eukaryotes;Animals;Vertebrates;Mammals	9598	[]	[]
T02283	pps	Pan paniscus (bonobo)	Eukaryotes;Animals;Vertebrates;Mammals	9597	[]	[]
T02442	ggo	Gorilla gorilla gorilla (western lowland gorilla)	Eukaryotes;Animals;Vertebrates;Mammals	9595	[]	[]
T01416	pon	Pongo abelii (Sumatran orangutan)	Eukaryotes;Animals;Vertebrates;Mammals	9601	[]	[]
T03265	nle	Nomascus leucogenys (northern white-cheeked gibbon)	Eukaryotes;Animals;Vertebrates;Mammals	61853	[]	[]
T01028	mcc	Macaca mulatta (rhesus monkey)	Eukaryotes;Animals;Vertebrates;Mammals	9544	[]	[]
T02918	mcf	Macaca fascicularis (crab-eating macaque)	Eukaryotes;Animals;Vertebrates;Mammals	9541	[]	[]
T04361	csab	Chlorocebus sabaeus (green monkey)	Eukaryotes;Animals;Vertebrates;Mammals	60711	[]	[]
T07242	caty	Cercocebus atys (sooty mangabey)	Eukaryotes;Animals;Vertebrates;Mammals	9531	[]	[]
T07474	panu	Papio anubis (olive baboon)	Eukaryotes;Animals;Vertebrates;Mammals	9555	[]	[]
T03989	rro	Rhinopithecus roxellana (golden snub-nosed monkey)	Eukaryotes;Animals;Vertebrates;Mammals	61622	[]	[]
T04641	rbb	Rhinopithecus bieti (black snub-nosed monkey)	Eukaryotes;Animals;Vertebrates;Mammals	61621	[]	[]
T07225	tfn	Trachypithecus francoisi (Francois's langur)	Eukaryotes;Animals;Vertebrates;Mammals	54180	[]	[]
T07491	pteh	Piliocolobus tephrosceles (Ugandan red Colobus)	Eukaryotes;Animals;Vertebrates;Mammals	591936	[]	[]
T03264	cjc	Callithrix jacchus (white-tufted-ear marmoset)	Eukaryotes;Animals;Vertebrates;Mammals	9483	[]	[]
T04350	sbq	Saimiri boliviensis boliviensis (Bolivian squirrel monkey)	Eukaryotes;Animals;Vertebrates;Mammals	39432	[]	[]
T07836	csyr	Carlito syrichta (Philippine tarsier)	Eukaryotes;Animals;Vertebrates;Mammals	1868482	[]	[]
T07238	mmur	Microcebus murinus (gray mouse lemur)	Eukaryotes;Animals;Vertebrates;Mammals	30608	[]	[]
T07855	oga	Otolemur garnettii (small-eared galago)	Eukaryotes;Animals;Vertebrates;Mammals	30611	[]	[]
T01002	mmu	Mus musculus (mouse)	Eukaryotes;Animals;Vertebrates;Mammals	10090	[]	[]
T05910	mcal	Mus caroli (Ryukyu mouse)	Eukaryotes;Animals;Vertebrates;Mammals	10089	[]	[]
T05929	mpah	Mus pahari (shrew mouse)	Eukaryotes;Animals;Vertebrates;Mammals	10093	[]	[]
T01003	rno	Rattus norvegicus (rat)	Eukaryotes;Animals;Vertebrates;Mammals	10116	[]	[]
T07224	mcoc	Mastomys coucha (southern multimammate mouse)	Eukaryotes;Animals;Vertebrates;Mammals	35658	[]	[]
T05884	mun	Meriones unguiculatus (Mongolian gerbil)	Eukaryotes;Animals;Vertebrates;Mammals	10047	[]	[]
T02813	cge	Cricetulus griseus (Chinese hamster)	Eukaryotes;Animals;Vertebrates;Mammals	10029	[]	[]
T07241	pleu	Peromyscus leucopus (white-footed mouse)	Eukaryotes;Animals;Vertebrates;Mammals	10041	[]	[]
T03372	ngi	Nannospalax galili (Upper Galilee mountains blind mole rat)	Eukaryotes;Animals;Vertebrates;Mammals	1026970	[]	[]
T02812	hgl	Heterocephalus glaber (naked mole rat)	Eukaryotes;Animals;Vertebrates;Mammals	10181	[]	[]
T07777	cpoc	Cavia porcellus (domestic guinea pig)	Eukaryotes;Animals;Vertebrates;Mammals	10141	[]	[]
T04791	ccan	Castor canadensis (American beaver)	Eukaryotes;Animals;Vertebrates;Mammals	51338	[]	[]
T07834	dord	Dipodomys ordii (Ord's kangaroo rat)	Eukaryotes;Animals;Vertebrates;Mammals	10020	[]	[]
